Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
135,Jaret Wright\wrighja02,2008-01-22,Pittsburgh Pirates,BAL,32,1.3,11,90,78,6,11,1,6,0,3,.141,.171,.205,.376,68,60,5.09,1.556,226,171,2,972.2,1046,99,467,694
136,Lance Cormier\cormila01,2008-01-21,Baltimore Orioles,ATL,27,-1.8,4,120,42,1,5,0,2,0,2,.119,.159,.143,.302,14,18,5.98,1.734,123,23,0,244.0,294,44,129,157
137,Joe Hietpas\hietpjo01,2008-01-21,New York Mets,NYM,29,,3,,,,,,,,,,,,,,,,,,,,,,,,
138,Brett Tomko\tomkobr01,2008-01-21,Kansas City Royals,SDP,35,1.1,11,297,451,23,71,0,29,0,19,.157,.191,.177,.368,93,92,4.62,1.371,346,250,2,1671.0,1750,228,541,1113
139,Chan Ho Park\parkch01,2008-01-20,Los Angeles Dodgers,HOU,35,-0.3,14,254,406,26,74,2,30,0,17,.182,.214,.239,.453,113,88,4.40,1.398,324,275,0,1750.2,1626,204,822,1511
140,Jeremy Affeldt\affelje01,2008-01-19,Cincinnati Reds,COL,29,-0.6,6,110,9,0,2,0,2,0,1,.222,.300,.222,.522,25,27,4.74,1.504,286,42,18,486.0,507,45,224,347
141,Paul Phillips\phillpa01,2008-01-18,Chicago White Sox,KCR,31,0.3,4,58,151,18,39,2,16,0,2,.258,.271,.364,.635,,,,,,,,,,,,
142,Arthur Rhodes\rhodear01,2008-01-18,Seattle Mariners,SEA,38,1.1,16,78,4,0,1,0,0,0,0,.250,.250,.250,.500,75,60,4.31,1.332,653,61,30,1011.0,896,111,451,993
143,Jason Jennings\jennija01,2008-01-17,Texas Rangers,HOU,29,5.0,7,173,328,18,68,2,26,0,19,.207,.252,.268,.520,60,65,4.91,1.548,175,174,0,1040.0,1151,122,459,693
144,Danny Sandoval\sandoda01,2008-01-17,Cleveland Indians,PHI,29,-0.3,2,,,,,,,,,,,,,,,,,,,,,,,,
145,Alex Escobar\escobal01,2008-01-16,Washington Nationals,WSN,29,0.4,6,,,,,,,,,,,,,,,,,,,,,,,,
146,Mark Hendrickson\hendrma01,2008-01-16,Florida Marlins,LAD,34,1.6,6,59,62,4,4,1,2,0,5,.065,.134,.129,.263,43,55,5.01,1.449,179,135,0,844.0,985,102,238,464
147,Ryan Jorgensen\jorgery01,2008-01-16,Minnesota Twins,CIN,29,0.0,2,8,19,3,3,2,6,0,0,.158,.158,.474,.632,,,,,,,,,,,,
148,Jon Lieber\liebejo01,2008-01-16,Chicago Cubs,PHI,38,2.3,13,339,607,36,85,0,25,0,30,.140,.180,.168,.348,129,121,4.28,1.276,375,326,2,2151.1,2329,275,416,1526
149,Josh Phelps\phelpjo01,2008-01-16,St. Louis Cardinals,PIT,30,1.0,7,446,1360,194,371,64,243,2,114,.273,.344,.476,.820,,,,,,,,,,,,
150,Luis Figueroa\figuelu01,2008-01-15,Chicago Cubs,SFG,34,-0.2,3,18,16,2,2,0,0,0,0,.125,.125,.188,.313,,,,,,,,,,,,
151,Tim Hamulack\hamulti01,2008-01-15,Kansas City Royals,LAD,31,-1.1,2,,,,,,,,,,,,,,,,,,,,,,,,
152,Jason Lane\laneja01,2008-01-15,New York Yankees,SDP,31,0.3,6,497,1208,165,291,61,189,10,123,.241,.314,.457,.771,,,,,,,,,,,,
153,Wil Nieves\nievewi01,2008-01-15,Washington Nationals,NYY,30,-0.6,4,63,143,8,23,0,11,1,6,.161,.195,.224,.418,,,,,,,,,,,,
154,Kirk Saarloos\saarlki01,2008-01-15,Oakland Athletics,CIN,29,2.3,6,83,41,1,3,0,5,0,1,.073,.095,.122,.217,28,30,5.00,1.527,157,72,2,482.2,555,58,182,239
