,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,uBB,1B,PA,R/PA,league_scalar,lgID,lg_PA,lg_wRC,park_factor,playerID,player_season,stint,teamID,w1B,w2B,w3B,wHBP,wHR,wuBB,yearID,year_lg,year_team,year_wOBA,year_wOBAScale,wOBA,wRAA,wRC+,wRC+_t-1,is_signed,is_unsigned,is_fa,service_time
beltrad01_2007,149,595,87,164,41,2,26,99.0,14.0,2.0,38,104.0,2.0,2.0,0.0,4.0,18.0,36.0,95,639.0,0.124,0.12542717703130535,AL,87493,10974,97,beltrad01,beltrad01_2007,1,SEA,0.8959999999999999,1.253,1.575,0.741,1.999,0.711,2007,2007_AL,2007_SEA,0.331,1.192,0.343320251177394,6.60456417982782,110.06847515561289,105.82401054909865,False,False,False,9.096
beltrad01_2008,143,556,74,148,29,1,25,77.0,8.0,2.0,50,90.0,10.0,2.0,0.0,4.0,11.0,40.0,93,612.0,0.12,0.12325895720700082,AL,87304,10761,96,beltrad01,beltrad01_2008,1,SEA,0.8959999999999999,1.2590000000000001,1.587,0.7390000000000001,2.024,0.708,2008,2008_AL,2008_SEA,0.32799999999999996,1.2109999999999999,0.33525581395348836,3.666852303497028,106.11122444558181,110.06847515561289,False,False,False,10.096
beltrad01_2009,111,449,54,119,27,0,8,44.0,13.0,2.0,19,74.0,1.0,7.0,0.0,2.0,19.0,18.0,84,477.0,0.12,0.12482370343190652,AL,87211,10886,96,beltrad01,beltrad01_2009,1,SEA,0.895,1.258,1.585,0.737,2.023,0.7070000000000001,2009,2009_AL,2009_SEA,0.32899999999999996,1.21,0.3008718487394958,-11.08853566219875,81.35761975287215,106.11122444558181,True,False,True,11.095999999999998
beltrad01_2010,154,589,84,189,49,2,28,102.0,2.0,1.0,40,82.0,10.0,5.0,0.0,7.0,25.0,30.0,110,641.0,0.115,0.11770830923016405,AL,86434,10174,105,beltrad01,beltrad01_2010,1,BOS,0.895,1.27,1.608,0.732,2.072,0.701,2010,2010_AL,2010_BOS,0.321,1.251,0.390811410459588,35.77067474388163,140.22330781856945,81.35761975287215,True,False,True,12.095999999999998
beltrad01_2011,124,487,82,144,33,0,32,105.0,1.0,1.0,25,53.0,0.0,5.0,0.0,8.0,13.0,25.0,79,525.0,0.11199999999999999,0.11638486265681029,AL,86171,10029,106,beltrad01,beltrad01_2011,1,TEX,0.89,1.27,1.611,0.726,2.086,0.6940000000000001,2011,2011_AL,2011_TEX,0.316,1.264,0.38086095238095236,26.939873417721508,134.54846363219957,140.22330781856945,False,False,False,13.095999999999998
beltrad01_2012,156,604,95,194,33,2,36,102.0,1.0,0.0,36,82.0,8.0,5.0,0.0,9.0,8.0,28.0,123,654.0,0.114,0.1169271652854995,AL,85797,10032,106,beltrad01,beltrad01_2012,1,TEX,0.884,1.2570000000000001,1.5930000000000002,0.722,2.0580000000000003,0.691,2012,2012_AL,2012_TEX,0.315,1.245,0.3876857585139319,38.18191652057144,141.57713902355687,134.54846363219957,False,False,False,14.095999999999998
beltrad01_2013,161,631,88,199,32,0,30,92.0,1.0,0.0,50,78.0,12.0,7.0,0.0,2.0,17.0,38.0,137,690.0,0.11,0.1136459562125951,AL,92401,10501,106,beltrad01,beltrad01_2013,1,TEX,0.888,1.271,1.6159999999999999,0.722,2.101,0.69,2013,2013_AL,2013_TEX,0.314,1.2770000000000001,0.3785132743362832,34.85838628976929,135.4376394458081,141.57713902355687,False,False,False,15.095999999999998
beltrad01_2014,148,549,79,178,33,1,19,77.0,1.0,1.0,57,74.0,13.0,3.0,0.0,5.0,15.0,44.0,125,614.0,0.10800000000000001,0.10994838512969053,AL,91834,10097,104,beltrad01,beltrad01_2014,1,TEX,0.892,1.2830000000000001,1.635,0.722,2.135,0.6890000000000001,2014,2014_AL,2014_TEX,0.31,1.304,0.3802346089850249,33.07059042699793,143.28623042082884,135.4376394458081,False,False,False,16.096
beltrad01_2015,143,567,83,163,32,4,18,83.0,1.0,0.0,41,65.0,4.0,3.0,0.0,8.0,18.0,37.0,109,619.0,0.113,0.11578947368421053,AL,91485,10593,105,beltrad01,beltrad01_2015,1,TEX,0.8809999999999999,1.256,1.594,0.718,2.065,0.687,2015,2015_AL,2015_TEX,0.313,1.251,0.3371382113821138,11.943687326561507,109.37534213575182,143.28623042082884,False,False,False,17.096
beltrad01_2016,153,583,89,175,31,1,32,104.0,1.0,1.0,48,66.0,6.0,6.0,0.0,3.0,10.0,42.0,111,640.0,0.11800000000000001,0.12008028623789162,AL,91672,11008,108,beltrad01,beltrad01_2016,1,TEX,0.878,1.242,1.569,0.721,2.015,0.691,2016,2016_AL,2016_TEX,0.318,1.212,0.37122555205047314,28.105902072857102,126.97793848256602,109.37534213575182,False,False,False,18.096
