Player,Club,Pos,service_time
"Redding,Tim",WAS,rhp,3.167
"Haren,Dan",ARZ,p,3.154
"DeJesus,David",KCA,of,3.146
"Balfour,Grant",TB,p,3.145
"Gobble,Jimmy",KCA,sp,3.142
"Borkowski,Dave",HOU,p,3.138
"Cabrera,Daniel",BAL,rhp,3.134
"Flores,Randy",STL,p,3.130
"Rios,Alex",TOR,of,3.130
"Thornton,Matt",CWS,lhp,3.129
"Lopez,Javier",BOS,p,3.126
"Rauch,Jon",WAS,rhp,3.126
"Heilman,Aaron",NYM,rhp,3.123
"Molina,Yadier",STL,c,3.123
"Peralta,Jhonny ",CLE,inf,3.118
"Seay,Bobby",DET,p,3.118
"Lowry,Noah",SF,p,3.113
"Matsui,Kazuo",HOU,ss,3.111
"McClung,Seth",MIL,p,3.111
"Wagner,Ryan",WAS,rhp,3.111
"Thames,Marcus",DET,of,3.108
"Chulk,Vinny",SF,p,3.106
"Bruntlett,Eric",PHI,inf,3.102
"Durbin,Chad",PHI,rhp,3.102
"Buck,John",KCA,c,3.101
"Geary,Geoff",HOU,p,3.098
"Amezaga,Alfredo",FLA,inf,3.097
"Miller,Justin",FLA,p,3.096
"Santiago,Ramon",DET,inf,3.095
"Treanor,Matt",FLA,c,3.093
"Youkilis,Kevin",BOS,3b,3.093
"Ledezma,Wil",SD,p,3.081
"Betemit,Wilson",NYY,ss,3.078
"Cotts,Neal",CHC,p,3.077
"Laird,Gerald",TEX,c,3.077
"Sullivan,Cory",COL,of,3.075
"Wright,David",NYM,3b,3.075
"Atkins,Garrett",COL,inf,3.072
"Francisco,Frank",TEX,p,3.065
"Crain,Jesse",MIN,p,3.064
"Brazoban,Yhency",LAD,p,3.059
"Feliciano,Pedro",NYM,lhp,3.059
"Hawpe,Brad",COL,of,3.058
"Qualls,Chad",ARZ,p,3.058
"Greinke,Zack",KCA,p,3.057
"DiNardo,Lenny",OAK,p,3.056
"Guerrier,Matt",MIN,p,3.056
"Mitre,Sergio",FLA,p,3.056
"Sizemore,Grady",CLE,of,3.056
"Walker,Tyler",SF,p,3.054
"Bush,David",MIL,p,3.052
"Yates,Tyler",ATL,p,3.050
"Snyder,Chris",ARZ,c,3.047
"Kazmir,Scott",TB,p,3.042
"Young,Chris",SD,p,3.041
"Francis,Jeff",COL,p,3.040
"Gil,Geronimo",COL,c,3.040
"Izturis,Maicer",LAA,inf,3.038
"De La Rosa,Jorge",KCA,p,3.034
"Swisher,Nick",CWS,of,3.031
"Langerhans,Ryan",WAS,of,3.028
"Taveras,Willy",COL,of,3.028
"Correia,Kevin",SF,p,3.027
"Belisle,Matt",CIN,p,3.024
"Hudson,Luke",KCA,p,3.023
"Phillips,Brandon",CIN,ss,3.022
"Aquino,Greg",BAL,rhp,3.019
"Blanton,Joe",OAK,p,3.016
"Chacin,Gustavo",TOR,p,3.014
"Frasor,Jason",TOR,p,3.014
"Proctor,Scott",LAD,p,3.010
"Kubel,Jason",MIN,of,3.009
"Burke,Chris",ARZ,inf,3.008
"German,Esteban",KCA,inf,3.008
"Paronto,Chad",HOU,p,3.008
"Wuertz,Michael",CHC,p,3.007
"Gaudin,Chad",OAK,p,3.004
"Redman,Tike",BAL,of,3.003
"Hardy,J.J.",MIL,ss,3.000
"Iguchi,Tadahito",SD,2b-ss,3.000
"Repko,Jason",LAD,of,3.000
"Street,Huston",OAK,p,3.000
"Ojeda,Augie",ARZ,ss,2.169
"Hennessey,Brad",SF,p,2.168
"Bautista,Jose",PIT,inf,2.165
"Bruney,Brian",NYY,p,2.164
"Byrdak,Tim",DET,p,2.161
"Gomes,Jonny",TB,of,2.160
"Wang,Chien-Ming",NYY,p,2.159
"Diaz,Matt",ATL,of,2.157
"Teahen,Mark",KCA,3b,2.155
